,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14,Cell_15,Cell_16,Cell_17,Cell_18,Cell_19,Cell_20,Cell_21,Cell_22,Cell_23,Cell_24,Cell_25,Cell_26,Cell_27,Cell_28,Cell_29,Cell_30
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,127.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.0,0.0,0.0,10.0,0.0,1.0,0.0,1428.0,0.0,0.0,10.0,0.0,0.0,0.0,5115.0,2327.0,1.0,0.0,0.0,21.0,1523.0
A2MP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,99.0,21.0,24.0,0.0,1.0,0.0,2.0,10.0,37.0,119.0,72.0,0.0,100.0,115.0,114.0,481.0,0.0,0.0,3.0,80.0,1655.0,1.0,0.0,62.0,0.0,6.0,471.0,1.0,0.0,0.0
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,3702.0,517.0,2319.0,0.0,306.0,0.0,157.0,237.0,0.0,0.0,239.0,883.0,2388.0,530.0,0.0,215.0,1327.0,306.0,0.0,7.0,998.0,158.0,0.0,8086.0,0.0,206.0,0.0,0.0,1127.0,0.0
AACS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,39.0,0.0,0.0,6.0,680.0
AADAC,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,423.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0
AAED1,0.0,0.0,0.0,0.0,13.0,194.0,0.0,0.0,0.0,0.0,3.0,0.0,857.0,0.0,0.0,74.0,4.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,83.0,0.0
AAGAB,0.0,5.0,2172.0,996.0,734.0,0.0,0.0,50.0,0.0,4840.0,38.0,0.0,3.0,0.0,25.0,51.0,152.0,396.0,0.0,71.0,93.0,293.0,5.0,2479.0,0.0,160.0,0.0,612.0,1.0,3243.0
AAK1,0.0,563.0,0.0,76.0,0.0,14.0,282.0,8.0,17.0,2998.0,1192.0,0.0,1874.0,80.0,488.0,13.0,9794.0,6.0,0.0,44.0,72.0,337.0,296.0,8.0,24.0,418.0,290.0,0.0,3327.0,720.0
AAMDC,0.0,0.0,548.0,554.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,110.0,0.0,0.0,0.0,175.0,0.0,10.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,438.0,0.0,0.0
AAMP,5814.0,767.0,393.0,8290.0,1028.0,0.0,2113.0,753.0,13.0,23708.0,2635.0,810.0,2909.0,291.0,2346.0,1245.0,13975.0,2765.0,67.0,142.0,10637.0,1171.0,4403.0,3421.0,2480.0,1294.0,894.0,21.0,8317.0,1675.0
AANAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAR2,0.0,941.0,1161.0,2395.0,1800.0,0.0,424.0,1.0,0.0,5249.0,775.0,749.0,4082.0,183.0,0.0,499.0,689.0,0.0,0.0,325.0,3676.0,537.0,6911.0,45.0,227.0,50.0,31.0,0.0,8404.0,1091.0
AARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS,0.0,423.0,30.0,282.0,473.0,1394.0,236.0,1690.0,1246.0,5100.0,830.0,15.0,3152.0,990.0,10.0,0.0,10497.0,834.0,0.0,6.0,3822.0,1580.0,2188.0,785.0,2070.0,1222.0,761.0,19.0,1789.0,3127.0
AARS2,0.0,349.0,7.0,1214.0,61.0,0.0,0.0,0.0,272.0,0.0,118.0,2.0,0.0,580.0,432.0,217.0,0.0,0.0,490.0,296.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
AARSD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASDH,0.0,10.0,35.0,1145.0,0.0,2.0,0.0,1.0,0.0,0.0,798.0,0.0,1721.0,0.0,0.0,0.0,0.0,595.0,400.0,76.0,3535.0,119.0,0.0,183.0,0.0,57.0,0.0,0.0,96.0,156.0
AASDHPPT,0.0,0.0,7695.0,1116.0,171.0,1031.0,512.0,1534.0,174.0,636.0,2278.0,318.0,191.0,0.0,0.0,36.0,1351.0,2460.0,589.0,0.0,2547.0,995.0,10.0,0.0,0.0,876.0,3024.0,1385.0,1403.0,1393.0
AASS,2559.0,1.0,2194.0,116.0,764.0,0.0,89.0,1957.0,18.0,1546.0,724.0,855.0,3451.0,1.0,1035.0,1239.0,2815.0,0.0,100.0,67.0,0.0,600.0,634.0,9.0,167.0,234.0,0.0,0.0,2028.0,1142.0
AATF,1990.0,584.0,5037.0,2891.0,0.0,1214.0,719.0,1.0,1056.0,3133.0,2395.0,1226.0,268.0,0.0,0.0,18.0,21459.0,52.0,0.0,28.0,8852.0,389.0,3668.0,5312.0,1609.0,2644.0,3213.0,0.0,4353.0,2378.0
ABAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,0.0
ABCA1,0.0,746.0,0.0,0.0,495.0,1.0,0.0,384.0,391.0,0.0,0.0,6369.0,939.0,5409.0,1786.0,243.0,1.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ABCA11P,0.0,0.0,143.0,109.0,294.0,0.0,3.0,0.0,0.0,860.0,350.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1729.0,24.0,14.0,0.0,0.0,6.0,0.0
ABCA12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA13,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,43.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
