,label
Cell_1,epiblast
Cell_2,PE
Cell_3,trophectoderm
Cell_4,trophectoderm
Cell_5,PE
Cell_6,PE
Cell_7,trophectoderm
Cell_8,epiblast
Cell_9,PE
Cell_10,trophectoderm
Cell_11,trophectoderm
Cell_12,epiblast
Cell_13,PE
Cell_14,epiblast
Cell_15,epiblast
Cell_16,epiblast
Cell_17,trophectoderm
Cell_18,PE
Cell_19,epiblast
Cell_20,trophectoderm
Cell_21,trophectoderm
Cell_22,trophectoderm
Cell_23,trophectoderm
Cell_24,trophectoderm
Cell_25,trophectoderm
Cell_26,trophectoderm
Cell_27,trophectoderm
Cell_28,epiblast
Cell_29,trophectoderm
Cell_30,trophectoderm
