,label
Cell_1,K562
Cell_2,K562
Cell_3,BJ
Cell_4,GW21+3
Cell_5,GW21+3
Cell_6,iPS
Cell_7,K562
Cell_8,iPS
Cell_9,HL60
Cell_10,GW21+3
Cell_11,K562
Cell_12,iPS
Cell_13,2339
Cell_14,BJ
Cell_15,GW21+3
Cell_16,BJ
Cell_17,GW21
Cell_18,K562
Cell_19,GW21+3
Cell_20,K562
Cell_21,HL60
Cell_22,BJ
Cell_23,BJ
Cell_24,iPS
Cell_25,iPS
Cell_26,HL60
Cell_27,BJ
Cell_28,2339
Cell_29,HL60
Cell_30,iPS
Cell_31,GW21+3
Cell_32,BJ
Cell_33,BJ
Cell_34,K562
Cell_35,GW21+3
Cell_36,BJ
Cell_37,BJ
Cell_38,iPS
Cell_39,BJ
Cell_40,iPS
Cell_41,Kera
Cell_42,GW16
Cell_43,BJ
Cell_44,BJ
Cell_45,HL60
Cell_46,iPS
Cell_47,BJ
Cell_48,BJ
Cell_49,HL60
Cell_50,iPS
Cell_51,HL60
Cell_52,2339
Cell_53,HL60
Cell_54,iPS
Cell_55,HL60
Cell_56,iPS
Cell_57,BJ
Cell_58,iPS
Cell_59,iPS
Cell_60,iPS
Cell_61,GW21+3
Cell_62,BJ
Cell_63,GW16
Cell_64,BJ
Cell_65,HL60
Cell_66,GW16
Cell_67,GW21+3
Cell_68,HL60
Cell_69,HL60
Cell_70,Kera
Cell_71,iPS
Cell_72,GW16
Cell_73,iPS
Cell_74,HL60
Cell_75,GW21+3
Cell_76,2339
Cell_77,HL60
Cell_78,K562
Cell_79,BJ
Cell_80,HL60
Cell_81,GW16
Cell_82,iPS
Cell_83,HL60
Cell_84,HL60
Cell_85,GW16
Cell_86,Kera
Cell_87,Kera
Cell_88,BJ
Cell_89,GW21+3
Cell_90,Kera
Cell_91,Kera
Cell_92,HL60
Cell_93,GW21+3
Cell_94,HL60
Cell_95,BJ
Cell_96,iPS
Cell_97,2339
Cell_98,iPS
Cell_99,K562
Cell_100,iPS
Cell_101,Kera
Cell_102,BJ
Cell_103,Kera
Cell_104,Kera
Cell_105,BJ
Cell_106,HL60
Cell_107,BJ
Cell_108,HL60
Cell_109,HL60
Cell_110,iPS
Cell_111,GW21+3
Cell_112,BJ
Cell_113,Kera
Cell_114,iPS
Cell_115,2339
Cell_116,NPC
Cell_117,Kera
Cell_118,K562
Cell_119,Kera
Cell_120,2338
Cell_121,2339
Cell_122,BJ
Cell_123,Kera
Cell_124,BJ
Cell_125,GW21+3
Cell_126,HL60
Cell_127,BJ
Cell_128,2339
Cell_129,K562
Cell_130,GW21
Cell_131,NPC
Cell_132,2339
Cell_133,2339
Cell_134,HL60
Cell_135,iPS
Cell_136,BJ
Cell_137,GW16
Cell_138,GW16
Cell_139,K562
Cell_140,K562
Cell_141,HL60
Cell_142,K562
Cell_143,HL60
Cell_144,2338
Cell_145,BJ
Cell_146,BJ
Cell_147,HL60
Cell_148,HL60
Cell_149,HL60
Cell_150,GW21+3
Cell_151,K562
Cell_152,K562
Cell_153,NPC
Cell_154,NPC
Cell_155,NPC
Cell_156,2339
Cell_157,HL60
Cell_158,HL60
Cell_159,GW16
Cell_160,K562
Cell_161,GW16
Cell_162,Kera
Cell_163,K562
Cell_164,2338
Cell_165,Kera
Cell_166,HL60
Cell_167,HL60
Cell_168,BJ
Cell_169,Kera
Cell_170,BJ
Cell_171,K562
Cell_172,K562
Cell_173,K562
Cell_174,K562
Cell_175,GW21
Cell_176,K562
Cell_177,Kera
Cell_178,GW16
Cell_179,2338
Cell_180,BJ
Cell_181,K562
