"","Cell","Batch","Group","ExpLibSize"
"Cell1","Cell1","Batch1","Group2",55838.5345781283
"Cell2","Cell2","Batch1","Group2",42994.6835467996
"Cell3","Cell3","Batch1","Group2",50812.3519273831
"Cell4","Cell4","Batch1","Group4",61972.2612719939
"Cell5","Cell5","Batch1","Group3",52213.8383175931
"Cell6","Cell6","Batch1","Group1",55501.9981554089
"Cell7","Cell7","Batch1","Group3",53063.407534616
"Cell8","Cell8","Batch1","Group1",55487.7546654415
"Cell9","Cell9","Batch1","Group5",82850.3235103028
"Cell10","Cell10","Batch1","Group5",58892.9689255939
"Cell11","Cell11","Batch1","Group1",59625.00454112
"Cell12","Cell12","Batch1","Group1",66359.4560016659
"Cell13","Cell13","Batch1","Group1",55471.9260825135
"Cell14","Cell14","Batch1","Group3",48547.2587659456
"Cell15","Cell15","Batch1","Group3",57195.7771019502
"Cell16","Cell16","Batch1","Group3",51779.9825370562
"Cell17","Cell17","Batch1","Group4",97144.2564394893
"Cell18","Cell18","Batch1","Group1",65203.1679126931
"Cell19","Cell19","Batch1","Group2",71153.6330389138
"Cell20","Cell20","Batch1","Group1",49078.9715092349
"Cell21","Cell21","Batch1","Group3",77118.5555261481
"Cell22","Cell22","Batch1","Group4",77320.2714312566
"Cell23","Cell23","Batch1","Group5",78415.4019344935
"Cell24","Cell24","Batch1","Group5",59179.2903573728
"Cell25","Cell25","Batch1","Group2",98284.1337815169
"Cell26","Cell26","Batch1","Group2",74162.1097028852
"Cell27","Cell27","Batch1","Group4",69010.526477641
"Cell28","Cell28","Batch1","Group5",73814.2074000429
"Cell29","Cell29","Batch1","Group4",67067.996377459
"Cell30","Cell30","Batch1","Group5",46838.8756391001
"Cell31","Cell31","Batch1","Group2",71438.7939339108
"Cell32","Cell32","Batch1","Group4",59316.9317914239
"Cell33","Cell33","Batch1","Group2",64718.1332741651
"Cell34","Cell34","Batch1","Group5",45615.1053654806
"Cell35","Cell35","Batch1","Group4",44649.4419519172
